ngram_type,term,score
unigram,scams,0.3285309070912326
unigram,older,0.31647472701449014
unigram,phishing,0.27427809674589143
unigram,adults,0.24112360153484963
unigram,information,0.19892697126625095
unigram,scammers,0.1898848362086941
unigram,scam,0.18084270115113724
unigram,help,0.15974438601683788
unigram,money,0.15673034099765226
unigram,financial,0.15371629597846664
unigram,online,0.1446741609209098
unigram,seniors,0.1446741609209098
unigram,email,0.12658989080579605
unigram,fraud,0.1175477557482392
unigram,use,0.11151966570986796
unigram,people,0.10850562069068233
unigram,personal,0.10549157567149671
unigram,age,0.09042135057556862
unigram,victims,0.08137921551801175
unigram,phone,0.08137921551801175
unigram,security,0.08137921551801175
unigram,scammer,0.07535112547964051
unigram,emails,0.07535112547964051
unigram,victim,0.0723370804604549
unigram,support,0.0723370804604549
unigram,person,0.06932303544126928
unigram,target,0.06932303544126928
unigram,common,0.06932303544126928
unigram,internet,0.06932303544126928
unigram,report,0.06630899042208364
unigram,identity,0.06630899042208364
unigram,know,0.06329494540289803
unigram,signs,0.06329494540289803
unigram,social,0.06329494540289803
unigram,messages,0.06028090038371241
unigram,like,0.06028090038371241
unigram,legitimate,0.05726685536452679
unigram,warning,0.05726685536452679
unigram,make,0.05726685536452679
unigram,fake,0.05726685536452679
unigram,attacks,0.054252810345341164
unigram,aging,0.054252810345341164
unigram,software,0.054252810345341164
unigram,payment,0.054252810345341164
unigram,computer,0.051238765326155546
unigram,safe,0.051238765326155546
unigram,account,0.051238765326155546
unigram,resources,0.051238765326155546
unigram,bank,0.051238765326155546
unigram,text,0.051238765326155546
unigram,losses,0.04822472030696993
unigram,new,0.04521067528778431
unigram,protect,0.04521067528778431
unigram,senior,0.04521067528778431
unigram,best,0.04521067528778431
unigram,message,0.04521067528778431
unigram,elderly,0.04521067528778431
unigram,access,0.04521067528778431
unigram,ability,0.042196630268598684
unigram,avoid,0.042196630268598684
unigram,data,0.042196630268598684
unigram,important,0.042196630268598684
unigram,according,0.039182585249413066
unigram,life,0.039182585249413066
unigram,likely,0.039182585249413066
unigram,reported,0.039182585249413066
unigram,targeting,0.039182585249413066
unigram,steal,0.039182585249413066
unigram,medicare,0.039182585249413066
unigram,billion,0.039182585249413066
unigram,tools,0.039182585249413066
unigram,need,0.039182585249413066
unigram,family,0.039182585249413066
unigram,tips,0.03616854023022745
unigram,risk,0.03616854023022745
unigram,time,0.03616854023022745
unigram,real,0.03616854023022745
